date,price,company
2023-04-20,80.07604217529297,3M
2023-04-21,79.8848876953125,3M
2023-04-24,80.328369140625,3M
2023-04-25,79.8008041381836,3M
2023-04-26,78.692138671875,3M
2023-04-27,80.5348129272461,3M
2023-04-28,81.21529388427734,3M
2023-05-01,80.93238830566406,3M
2023-05-02,78.73800659179688,3M
2023-05-03,78.62332916259766,3M
2023-05-04,77.86637878417969,3M
2023-05-05,79.02091217041016,3M
2023-05-08,78.24868774414062,3M
2023-05-09,77.0711898803711,3M
2023-05-10,77.14766693115234,3M
2023-05-11,77.055908203125,3M
2023-05-12,76.66594696044922,3M
2023-05-15,76.83416748046875,3M
2023-05-16,74.93797302246094,3M
2023-05-17,76.59713745117188,3M
2023-05-18,77.34231567382812,3M
2023-05-19,76.86882781982422,3M
2023-05-22,78.94908905029297,3M
2023-05-23,78.16510009765625,3M
2023-05-24,75.28533172607422,3M
2023-05-25,75.3319091796875,3M
2023-05-26,75.24652862548828,3M
2023-05-30,74.5634536743164,3M
2023-05-31,72.4288558959961,3M
2023-06-01,73.18179321289062,3M
2023-06-02,79.58558654785156,3M
